Crime ID,Date,Time,City,Location,Latitude,Longitude,Crime Type,Number of Crimes,Number of Arrests,Arrest Made,Severity
C1001,2025-01-19,20:56,Kansas City,Rebecca Parks,39.0997,-94.5786,Theft,1,0,No Arrest,Low
C1002,2024-04-23,19:29,Kansas City,Harding Road,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium
C1003,2025-02-12,05:03,Kansas City,Tracy Islands,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1004,2024-02-05,16:27,Houston,Eric Unions,29.7604,-95.3698,Homicide,1,1,Arrest Made,High
C1005,2024-03-29,08:03,Austin,Webb Mall,30.2672,-97.7431,Fraud,1,0,No Arrest,Medium
C1006,2024-04-24,22:55,San Antonio,Benjamin Hollow,29.4241,-98.4936,Robbery,1,0,No Arrest,High
C1007,2024-06-06,00:35,San Antonio,Angela Creek,29.4241,-98.4936,Burglary,1,2,Arrest Made,Medium
C1008,2024-04-18,17:09,Tulsa,Johnson Light,36.15398,-95.99277,Theft,1,2,Arrest Made,Low
C1009,2023-12-28,01:47,Little Rock,Murray Glen,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1010,2024-10-09,08:13,Austin,Mcintyre Pass,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1011,2025-05-28,00:49,Oklahoma City,Laura Cliffs,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1012,2025-02-12,16:28,Little Rock,Miller Parks,34.7465,-92.2896,Burglary,1,1,Arrest Made,Medium
C1013,2023-09-27,05:43,Dallas,Griffin Ford,32.7767,-96.797,Burglary,1,2,Arrest Made,Medium
C1014,2024-05-21,05:52,Little Rock,Cruz Forges,34.7465,-92.2896,Robbery,1,1,Arrest Made,High
C1015,2023-12-19,20:56,Dallas,Taylor Court,32.7767,-96.797,Assault,1,0,No Arrest,Medium
C1016,2023-12-20,18:53,San Antonio,Alvarez Drive,29.4241,-98.4936,Homicide,1,1,Arrest Made,High
C1017,2023-06-13,15:16,Austin,Austin Port,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium
C1018,2024-04-17,23:32,Houston,Taylor Views,29.7604,-95.3698,Drug Offense,1,1,Arrest Made,Medium
C1019,2023-12-06,20:28,Kansas City,Bond Prairie,39.0997,-94.5786,Burglary,1,1,Arrest Made,Medium
C1020,2024-06-19,12:06,Dallas,Andrew Port,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low
C1021,2025-04-16,01:58,Little Rock,Sharon Springs,34.7465,-92.2896,Robbery,1,2,Arrest Made,High
