Crime ID,Date,Time,City,Location,Latitude,Longitude,Crime Type,Number of Crimes,Number of Arrests,Arrest Made,Severity,Hour,Minute,Year,Month,MonthName,DOW,DOW_num,YearMonth,IsWeekend,TimeBlock,ArrestFlag,SeverityOrd
C1001,2025-01-19,20:56,Kansas City,Rebecca Parks,39.0997,-94.5786,Theft,1,0,No Arrest,Low,20,56,2025,1,Jan,Sunday,6,2025-01,True,Evening,0,1
C1002,2024-04-23,19:29,Kansas City,Harding Road,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium,19,29,2024,4,Apr,Tuesday,1,2024-04,False,Evening,1,2
C1003,2025-02-12,05:03,Kansas City,Tracy Islands,39.0997,-94.5786,Homicide,1,1,Arrest Made,High,5,3,2025,2,Feb,Wednesday,2,2025-02,False,Morning,1,3
C1004,2024-02-05,16:27,Houston,Eric Unions,29.7604,-95.3698,Homicide,1,1,Arrest Made,High,16,27,2024,2,Feb,Monday,0,2024-02,False,Afternoon,1,3
C1005,2024-03-29,08:03,Austin,Webb Mall,30.2672,-97.7431,Fraud,1,0,No Arrest,Medium,8,3,2024,3,Mar,Friday,4,2024-03,False,Morning,0,2
C1006,2024-04-24,22:55,San Antonio,Benjamin Hollow,29.4241,-98.4936,Robbery,1,0,No Arrest,High,22,55,2024,4,Apr,Wednesday,2,2024-04,False,Night,0,3
C1007,2024-06-06,00:35,San Antonio,Angela Creek,29.4241,-98.4936,Burglary,1,2,Arrest Made,Medium,0,35,2024,6,Jun,Thursday,3,2024-06,False,Night,1,2
C1008,2024-04-18,17:09,Tulsa,Johnson Light,36.15398,-95.99277,Theft,1,2,Arrest Made,Low,17,9,2024,4,Apr,Thursday,3,2024-04,False,Evening,1,1
C1009,2023-12-28,01:47,Little Rock,Murray Glen,34.7465,-92.2896,Homicide,1,1,Arrest Made,High,1,47,2023,12,Dec,Thursday,3,2023-12,False,Night,1,3
C1010,2024-10-09,08:13,Austin,Mcintyre Pass,30.2672,-97.7431,Homicide,1,1,Arrest Made,High,8,13,2024,10,Oct,Wednesday,2,2024-10,False,Morning,1,3
C1011,2025-05-28,00:49,Oklahoma City,Laura Cliffs,35.4676,-97.5164,Homicide,1,1,Arrest Made,High,0,49,2025,5,May,Wednesday,2,2025-05,False,Night,1,3
C1012,2025-02-12,16:28,Little Rock,Miller Parks,34.7465,-92.2896,Burglary,1,1,Arrest Made,Medium,16,28,2025,2,Feb,Wednesday,2,2025-02,False,Afternoon,1,2
C1013,2023-09-27,05:43,Dallas,Griffin Ford,32.7767,-96.797,Burglary,1,2,Arrest Made,Medium,5,43,2023,9,Sep,Wednesday,2,2023-09,False,Morning,1,2
C1014,2024-05-21,05:52,Little Rock,Cruz Forges,34.7465,-92.2896,Robbery,1,1,Arrest Made,High,5,52,2024,5,May,Tuesday,1,2024-05,False,Morning,1,3
C1015,2023-12-19,20:56,Dallas,Taylor Court,32.7767,-96.797,Assault,1,0,No Arrest,Medium,20,56,2023,12,Dec,Tuesday,1,2023-12,False,Evening,0,2
C1016,2023-12-20,18:53,San Antonio,Alvarez Drive,29.4241,-98.4936,Homicide,1,1,Arrest Made,High,18,53,2023,12,Dec,Wednesday,2,2023-12,False,Evening,1,3
C1017,2023-06-13,15:16,Austin,Austin Port,30.2672,-97.7431,Drug Offense,1,0,No Arrest,Medium,15,16,2023,6,Jun,Tuesday,1,2023-06,False,Afternoon,0,2
C1018,2024-04-17,23:32,Houston,Taylor Views,29.7604,-95.3698,Drug Offense,1,1,Arrest Made,Medium,23,32,2024,4,Apr,Wednesday,2,2024-04,False,Night,1,2
C1019,2023-12-06,20:28,Kansas City,Bond Prairie,39.0997,-94.5786,Burglary,1,1,Arrest Made,Medium,20,28,2023,12,Dec,Wednesday,2,2023-12,False,Evening,1,2
C1020,2024-06-19,12:06,Dallas,Andrew Port,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low,12,6,2024,6,Jun,Wednesday,2,2024-06,False,Afternoon,1,1
C1021,2025-04-16,01:58,Little Rock,Sharon Springs,34.7465,-92.2896,Robbery,1,2,Arrest Made,High,1,58,2025,4,Apr,Wednesday,2,2025-04,False,Night,1,3
C1022,2024-06-02,17:33,Houston,Tina Land,29.7604,-95.3698,Fraud,1,1,Arrest Made,Medium,17,33,2024,6,Jun,Sunday,6,2024-06,True,Evening,1,2
C1023,2023-07-27,01:57,Tulsa,Diaz Ferry,36.15398,-95.99277,Homicide,1,1,Arrest Made,High,1,57,2023,7,Jul,Thursday,3,2023-07,False,Night,1,3
C1024,2024-01-13,06:42,Kansas City,Albert Crossroad,39.0997,-94.5786,Vandalism,1,0,No Arrest,Low,6,42,2024,1,Jan,Saturday,5,2024-01,True,Morning,0,1
C1025,2025-04-20,08:57,Dallas,Mcmahon Islands,32.7767,-96.797,Assault,1,0,No Arrest,Medium,8,57,2025,4,Apr,Sunday,6,2025-04,True,Morning,0,2
C1026,2024-08-04,11:03,Austin,Davis Corner,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low,11,3,2024,8,Aug,Sunday,6,2024-08,True,Morning,1,1
C1027,2024-08-21,03:42,Dallas,Alexis Freeway,32.7767,-96.797,Robbery,1,1,Arrest Made,High,3,42,2024,8,Aug,Wednesday,2,2024-08,False,Night,1,3
C1028,2025-02-26,16:36,San Antonio,Howell Divide,29.4241,-98.4936,Burglary,1,2,Arrest Made,Medium,16,36,2025,2,Feb,Wednesday,2,2025-02,False,Afternoon,1,2
C1029,2024-09-03,04:22,Oklahoma City,Taylor Crossroad,35.4676,-97.5164,Theft,1,2,Arrest Made,Low,4,22,2024,9,Sep,Tuesday,1,2024-09,False,Night,1,1
C1030,2024-09-09,05:15,Little Rock,Green Meadows,34.7465,-92.2896,Burglary,1,2,Arrest Made,Medium,5,15,2024,9,Sep,Monday,0,2024-09,False,Morning,1,2
C1031,2024-04-25,11:50,Houston,Amanda Village,29.7604,-95.3698,Drug Offense,1,1,Arrest Made,Medium,11,50,2024,4,Apr,Thursday,3,2024-04,False,Morning,1,2
C1032,2024-10-23,00:07,Oklahoma City,Johnson Cliff,35.4676,-97.5164,Burglary,1,1,Arrest Made,Medium,0,7,2024,10,Oct,Wednesday,2,2024-10,False,Night,1,2
C1033,2023-06-22,22:05,Dallas,Kirsten Fork,32.7767,-96.797,Drug Offense,1,1,Arrest Made,Medium,22,5,2023,6,Jun,Thursday,3,2023-06,False,Night,1,2
C1034,2025-04-21,13:01,Kansas City,Brian Parkway,39.0997,-94.5786,Homicide,1,1,Arrest Made,High,13,1,2025,4,Apr,Monday,0,2025-04,False,Afternoon,1,3
C1035,2024-06-17,03:12,Dallas,Ortiz Crescent,32.7767,-96.797,Fraud,1,2,Arrest Made,Medium,3,12,2024,6,Jun,Monday,0,2024-06,False,Night,1,2
C1036,2024-05-16,15:08,Oklahoma City,Butler Fork,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low,15,8,2024,5,May,Thursday,3,2024-05,False,Afternoon,1,1
C1037,2024-07-20,20:17,Oklahoma City,Mercer Summit,35.4676,-97.5164,Assault,1,2,Arrest Made,Medium,20,17,2024,7,Jul,Saturday,5,2024-07,True,Evening,1,2
C1038,2025-04-22,16:26,Tulsa,Johnson Forks,36.15398,-95.99277,Homicide,1,1,Arrest Made,High,16,26,2025,4,Apr,Tuesday,1,2025-04,False,Afternoon,1,3
C1039,2023-12-03,05:18,Tulsa,Austin Plains,36.15398,-95.99277,Drug Offense,1,1,Arrest Made,Medium,5,18,2023,12,Dec,Sunday,6,2023-12,True,Morning,1,2
C1040,2024-12-10,21:20,Dallas,Victoria Manors,32.7767,-96.797,Vandalism,1,0,No Arrest,Low,21,20,2024,12,Dec,Tuesday,1,2024-12,False,Night,0,1
C1041,2025-01-15,01:44,Austin,Tim Pines,30.2672,-97.7431,Homicide,1,1,Arrest Made,High,1,44,2025,1,Jan,Wednesday,2,2025-01,False,Night,1,3
C1042,2024-08-10,00:00,Austin,Anita Cliffs,30.2672,-97.7431,Assault,1,1,Arrest Made,Medium,0,0,2024,8,Aug,Saturday,5,2024-08,True,Night,1,2
C1043,2025-02-20,21:49,Houston,Kelly Ports,29.7604,-95.3698,Robbery,1,2,Arrest Made,High,21,49,2025,2,Feb,Thursday,3,2025-02,False,Night,1,3
C1044,2024-03-27,07:06,San Antonio,Jose Hollow,29.4241,-98.4936,Burglary,1,1,Arrest Made,Medium,7,6,2024,3,Mar,Wednesday,2,2024-03,False,Morning,1,2
C1045,2023-06-12,07:29,Houston,Hill Coves,29.7604,-95.3698,Theft,1,2,Arrest Made,Low,7,29,2023,6,Jun,Monday,0,2023-06,False,Morning,1,1
C1046,2025-04-15,11:42,Austin,Karen Meadows,30.2672,-97.7431,Homicide,1,1,Arrest Made,High,11,42,2025,4,Apr,Tuesday,1,2025-04,False,Morning,1,3
C1047,2024-05-24,09:50,Houston,Ford Creek,29.7604,-95.3698,Robbery,1,0,No Arrest,High,9,50,2024,5,May,Friday,4,2024-05,False,Morning,0,3
C1048,2025-04-02,02:07,Tulsa,Nancy Tunnel,36.15398,-95.99277,Robbery,1,1,Arrest Made,High,2,7,2025,4,Apr,Wednesday,2,2025-04,False,Night,1,3
C1049,2024-06-12,12:31,Austin,Andre Island,30.2672,-97.7431,Assault,1,0,No Arrest,Medium,12,31,2024,6,Jun,Wednesday,2,2024-06,False,Afternoon,0,2
C1050,2024-01-07,15:26,Kansas City,Jennifer Cliff,39.0997,-94.5786,Robbery,1,0,No Arrest,High,15,26,2024,1,Jan,Sunday,6,2024-01,True,Afternoon,0,3
C1051,2023-10-29,17:09,Oklahoma City,Snyder Summit,35.4676,-97.5164,Theft,1,1,Arrest Made,Low,17,9,2023,10,Oct,Sunday,6,2023-10,True,Evening,1,1
C1052,2025-02-19,07:14,Austin,Adriana Trail,30.2672,-97.7431,Homicide,1,1,Arrest Made,High,7,14,2025,2,Feb,Wednesday,2,2025-02,False,Morning,1,3
C1053,2023-09-09,07:20,Dallas,Hess Club,32.7767,-96.797,Homicide,1,1,Arrest Made,High,7,20,2023,9,Sep,Saturday,5,2023-09,True,Morning,1,3
C1054,2023-06-16,18:04,Oklahoma City,Timothy Manor,35.4676,-97.5164,Drug Offense,1,1,Arrest Made,Medium,18,4,2023,6,Jun,Friday,4,2023-06,False,Evening,1,2
C1055,2025-01-01,00:45,Kansas City,Lester Drive,39.0997,-94.5786,Homicide,1,1,Arrest Made,High,0,45,2025,1,Jan,Wednesday,2,2025-01,False,Night,1,3
C1056,2025-03-18,07:48,Austin,Williams Way,30.2672,-97.7431,Theft,1,2,Arrest Made,Low,7,48,2025,3,Mar,Tuesday,1,2025-03,False,Morning,1,1
C1057,2024-06-06,20:17,Kansas City,Salas Hill,39.0997,-94.5786,Burglary,1,0,No Arrest,Medium,20,17,2024,6,Jun,Thursday,3,2024-06,False,Evening,0,2
C1058,2023-12-07,15:55,Houston,Richard Mountains,29.7604,-95.3698,Assault,1,2,Arrest Made,Medium,15,55,2023,12,Dec,Thursday,3,2023-12,False,Afternoon,1,2
C1059,2024-11-01,21:12,Little Rock,Jennifer Hills,34.7465,-92.2896,Drug Offense,1,0,No Arrest,Medium,21,12,2024,11,Nov,Friday,4,2024-11,False,Night,0,2
C1060,2024-06-22,15:13,San Antonio,Matthews View,29.4241,-98.4936,Burglary,1,0,No Arrest,Medium,15,13,2024,6,Jun,Saturday,5,2024-06,True,Afternoon,0,2
C1061,2023-09-25,19:32,Tulsa,Hobbs Mews,36.15398,-95.99277,Assault,1,0,No Arrest,Medium,19,32,2023,9,Sep,Monday,0,2023-09,False,Evening,0,2
C1062,2025-02-21,06:02,Dallas,Patrick Isle,32.7767,-96.797,Fraud,1,2,Arrest Made,Medium,6,2,2025,2,Feb,Friday,4,2025-02,False,Morning,1,2
C1063,2024-09-16,09:05,Oklahoma City,Denise Manors,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low,9,5,2024,9,Sep,Monday,0,2024-09,False,Morning,1,1
C1064,2024-06-10,12:08,Austin,Nichole Squares,30.2672,-97.7431,Vandalism,1,0,No Arrest,Low,12,8,2024,6,Jun,Monday,0,2024-06,False,Afternoon,0,1
C1065,2024-06-22,19:28,San Antonio,Underwood Ridges,29.4241,-98.4936,Robbery,1,1,Arrest Made,High,19,28,2024,6,Jun,Saturday,5,2024-06,True,Evening,1,3
C1066,2024-02-24,07:07,Austin,Danielle Land,30.2672,-97.7431,Theft,1,0,No Arrest,Low,7,7,2024,2,Feb,Saturday,5,2024-02,True,Morning,0,1
C1067,2023-09-05,06:23,Oklahoma City,Duncan Run,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low,6,23,2023,9,Sep,Tuesday,1,2023-09,False,Morning,1,1
C1068,2023-08-16,00:46,Dallas,Webster Extension,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low,0,46,2023,8,Aug,Wednesday,2,2023-08,False,Night,1,1
C1069,2024-06-04,16:10,Houston,Zachary Path,29.7604,-95.3698,Theft,1,1,Arrest Made,Low,16,10,2024,6,Jun,Tuesday,1,2024-06,False,Afternoon,1,1
C1070,2025-02-28,04:59,Little Rock,Campos Groves,34.7465,-92.2896,Burglary,1,0,No Arrest,Medium,4,59,2025,2,Feb,Friday,4,2025-02,False,Night,0,2
C1071,2023-06-17,17:51,Dallas,Williams Vista,32.7767,-96.797,Theft,1,1,Arrest Made,Low,17,51,2023,6,Jun,Saturday,5,2023-06,True,Evening,1,1
C1072,2024-05-17,14:48,Houston,Smith Islands,29.7604,-95.3698,Fraud,1,0,No Arrest,Medium,14,48,2024,5,May,Friday,4,2024-05,False,Afternoon,0,2
C1073,2024-12-21,19:29,Tulsa,Anthony Rapids,36.15398,-95.99277,Burglary,1,2,Arrest Made,Medium,19,29,2024,12,Dec,Saturday,5,2024-12,True,Evening,1,2
C1074,2023-08-30,02:19,Oklahoma City,Mercado Centers,35.4676,-97.5164,Assault,1,1,Arrest Made,Medium,2,19,2023,8,Aug,Wednesday,2,2023-08,False,Night,1,2
C1075,2023-11-18,13:51,Houston,Tiffany Island,29.7604,-95.3698,Robbery,1,0,No Arrest,High,13,51,2023,11,Nov,Saturday,5,2023-11,True,Afternoon,0,3
C1076,2023-07-08,11:46,Tulsa,Dean Stravenue,36.15398,-95.99277,Robbery,1,2,Arrest Made,High,11,46,2023,7,Jul,Saturday,5,2023-07,True,Morning,1,3
C1077,2024-07-22,22:31,Oklahoma City,Lopez Pike,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low,22,31,2024,7,Jul,Monday,0,2024-07,False,Night,1,1
C1078,2024-09-16,10:53,Tulsa,Richard Isle,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low,10,53,2024,9,Sep,Monday,0,2024-09,False,Morning,1,1
C1079,2024-10-14,04:42,Dallas,David Meadows,32.7767,-96.797,Drug Offense,1,2,Arrest Made,Medium,4,42,2024,10,Oct,Monday,0,2024-10,False,Night,1,2
C1080,2025-02-13,01:12,Dallas,Jason Loaf,32.7767,-96.797,Theft,1,2,Arrest Made,Low,1,12,2025,2,Feb,Thursday,3,2025-02,False,Night,1,1
C1081,2023-09-19,21:03,Kansas City,Christopher Pines,39.0997,-94.5786,Homicide,1,1,Arrest Made,High,21,3,2023,9,Sep,Tuesday,1,2023-09,False,Night,1,3
C1082,2023-11-02,02:45,Dallas,Matthews Islands,32.7767,-96.797,Burglary,1,0,No Arrest,Medium,2,45,2023,11,Nov,Thursday,3,2023-11,False,Night,0,2
C1083,2024-02-26,20:02,Houston,Hubbard Summit,29.7604,-95.3698,Homicide,1,1,Arrest Made,High,20,2,2024,2,Feb,Monday,0,2024-02,False,Evening,1,3
C1084,2025-04-30,00:10,Austin,Johnson Mountain,30.2672,-97.7431,Homicide,1,1,Arrest Made,High,0,10,2025,4,Apr,Wednesday,2,2025-04,False,Night,1,3
