Crime ID,Date,Time,City,Location,Crime Type,Severity,Arrest Made,Number of Arrests,Hour,DOW,TimeBlock,Cluster
C1001,2025-01-19,20:56,Kansas City,Rebecca Parks,Theft,Low,No Arrest,0,20,Sunday,Evening,0
C1002,2024-04-23,19:29,Kansas City,Harding Road,Drug Offense,Medium,Arrest Made,2,19,Tuesday,Evening,0
C1003,2025-02-12,05:03,Kansas City,Tracy Islands,Homicide,High,Arrest Made,1,5,Wednesday,Morning,0
C1004,2024-02-05,16:27,Houston,Eric Unions,Homicide,High,Arrest Made,1,16,Monday,Afternoon,1
C1005,2024-03-29,08:03,Austin,Webb Mall,Fraud,Medium,No Arrest,0,8,Friday,Morning,1
C1006,2024-04-24,22:55,San Antonio,Benjamin Hollow,Robbery,High,No Arrest,0,22,Wednesday,Night,1
C1007,2024-06-06,00:35,San Antonio,Angela Creek,Burglary,Medium,Arrest Made,2,0,Thursday,Night,1
C1008,2024-04-18,17:09,Tulsa,Johnson Light,Theft,Low,Arrest Made,2,17,Thursday,Evening,0
C1009,2023-12-28,01:47,Little Rock,Murray Glen,Homicide,High,Arrest Made,1,1,Thursday,Night,0
C1010,2024-10-09,08:13,Austin,Mcintyre Pass,Homicide,High,Arrest Made,1,8,Wednesday,Morning,1
C1011,2025-05-28,00:49,Oklahoma City,Laura Cliffs,Homicide,High,Arrest Made,1,0,Wednesday,Night,1
C1012,2025-02-12,16:28,Little Rock,Miller Parks,Burglary,Medium,Arrest Made,1,16,Wednesday,Afternoon,0
C1013,2023-09-27,05:43,Dallas,Griffin Ford,Burglary,Medium,Arrest Made,2,5,Wednesday,Morning,1
C1014,2024-05-21,05:52,Little Rock,Cruz Forges,Robbery,High,Arrest Made,1,5,Tuesday,Morning,0
C1015,2023-12-19,20:56,Dallas,Taylor Court,Assault,Medium,No Arrest,0,20,Tuesday,Evening,1
C1016,2023-12-20,18:53,San Antonio,Alvarez Drive,Homicide,High,Arrest Made,1,18,Wednesday,Evening,1
C1017,2023-06-13,15:16,Austin,Austin Port,Drug Offense,Medium,No Arrest,0,15,Tuesday,Afternoon,1
C1018,2024-04-17,23:32,Houston,Taylor Views,Drug Offense,Medium,Arrest Made,1,23,Wednesday,Night,1
C1019,2023-12-06,20:28,Kansas City,Bond Prairie,Burglary,Medium,Arrest Made,1,20,Wednesday,Evening,0
C1020,2024-06-19,12:06,Dallas,Andrew Port,Vandalism,Low,Arrest Made,1,12,Wednesday,Afternoon,1
C1021,2025-04-16,01:58,Little Rock,Sharon Springs,Robbery,High,Arrest Made,2,1,Wednesday,Night,0
C1022,2024-06-02,17:33,Houston,Tina Land,Fraud,Medium,Arrest Made,1,17,Sunday,Evening,1
C1023,2023-07-27,01:57,Tulsa,Diaz Ferry,Homicide,High,Arrest Made,1,1,Thursday,Night,0
C1024,2024-01-13,06:42,Kansas City,Albert Crossroad,Vandalism,Low,No Arrest,0,6,Saturday,Morning,0
C1025,2025-04-20,08:57,Dallas,Mcmahon Islands,Assault,Medium,No Arrest,0,8,Sunday,Morning,1
C1026,2024-08-04,11:03,Austin,Davis Corner,Vandalism,Low,Arrest Made,1,11,Sunday,Morning,1
C1027,2024-08-21,03:42,Dallas,Alexis Freeway,Robbery,High,Arrest Made,1,3,Wednesday,Night,1
C1028,2025-02-26,16:36,San Antonio,Howell Divide,Burglary,Medium,Arrest Made,2,16,Wednesday,Afternoon,1
C1029,2024-09-03,04:22,Oklahoma City,Taylor Crossroad,Theft,Low,Arrest Made,2,4,Tuesday,Night,1
C1030,2024-09-09,05:15,Little Rock,Green Meadows,Burglary,Medium,Arrest Made,2,5,Monday,Morning,0
C1031,2024-04-25,11:50,Houston,Amanda Village,Drug Offense,Medium,Arrest Made,1,11,Thursday,Morning,1
C1032,2024-10-23,00:07,Oklahoma City,Johnson Cliff,Burglary,Medium,Arrest Made,1,0,Wednesday,Night,1
C1033,2023-06-22,22:05,Dallas,Kirsten Fork,Drug Offense,Medium,Arrest Made,1,22,Thursday,Night,1
C1034,2025-04-21,13:01,Kansas City,Brian Parkway,Homicide,High,Arrest Made,1,13,Monday,Afternoon,0
C1035,2024-06-17,03:12,Dallas,Ortiz Crescent,Fraud,Medium,Arrest Made,2,3,Monday,Night,1
C1036,2024-05-16,15:08,Oklahoma City,Butler Fork,Vandalism,Low,Arrest Made,1,15,Thursday,Afternoon,1
C1037,2024-07-20,20:17,Oklahoma City,Mercer Summit,Assault,Medium,Arrest Made,2,20,Saturday,Evening,1
C1038,2025-04-22,16:26,Tulsa,Johnson Forks,Homicide,High,Arrest Made,1,16,Tuesday,Afternoon,0
C1039,2023-12-03,05:18,Tulsa,Austin Plains,Drug Offense,Medium,Arrest Made,1,5,Sunday,Morning,0
C1040,2024-12-10,21:20,Dallas,Victoria Manors,Vandalism,Low,No Arrest,0,21,Tuesday,Night,1
C1041,2025-01-15,01:44,Austin,Tim Pines,Homicide,High,Arrest Made,1,1,Wednesday,Night,1
C1042,2024-08-10,00:00,Austin,Anita Cliffs,Assault,Medium,Arrest Made,1,0,Saturday,Night,1
C1043,2025-02-20,21:49,Houston,Kelly Ports,Robbery,High,Arrest Made,2,21,Thursday,Night,1
C1044,2024-03-27,07:06,San Antonio,Jose Hollow,Burglary,Medium,Arrest Made,1,7,Wednesday,Morning,1
C1045,2023-06-12,07:29,Houston,Hill Coves,Theft,Low,Arrest Made,2,7,Monday,Morning,1
C1046,2025-04-15,11:42,Austin,Karen Meadows,Homicide,High,Arrest Made,1,11,Tuesday,Morning,1
C1047,2024-05-24,09:50,Houston,Ford Creek,Robbery,High,No Arrest,0,9,Friday,Morning,1
C1048,2025-04-02,02:07,Tulsa,Nancy Tunnel,Robbery,High,Arrest Made,1,2,Wednesday,Night,0
C1049,2024-06-12,12:31,Austin,Andre Island,Assault,Medium,No Arrest,0,12,Wednesday,Afternoon,1
C1050,2024-01-07,15:26,Kansas City,Jennifer Cliff,Robbery,High,No Arrest,0,15,Sunday,Afternoon,0
C1051,2023-10-29,17:09,Oklahoma City,Snyder Summit,Theft,Low,Arrest Made,1,17,Sunday,Evening,1
C1052,2025-02-19,07:14,Austin,Adriana Trail,Homicide,High,Arrest Made,1,7,Wednesday,Morning,1
C1053,2023-09-09,07:20,Dallas,Hess Club,Homicide,High,Arrest Made,1,7,Saturday,Morning,1
C1054,2023-06-16,18:04,Oklahoma City,Timothy Manor,Drug Offense,Medium,Arrest Made,1,18,Friday,Evening,1
C1055,2025-01-01,00:45,Kansas City,Lester Drive,Homicide,High,Arrest Made,1,0,Wednesday,Night,0
C1056,2025-03-18,07:48,Austin,Williams Way,Theft,Low,Arrest Made,2,7,Tuesday,Morning,1
C1057,2024-06-06,20:17,Kansas City,Salas Hill,Burglary,Medium,No Arrest,0,20,Thursday,Evening,0
C1058,2023-12-07,15:55,Houston,Richard Mountains,Assault,Medium,Arrest Made,2,15,Thursday,Afternoon,1
C1059,2024-11-01,21:12,Little Rock,Jennifer Hills,Drug Offense,Medium,No Arrest,0,21,Friday,Night,0
C1060,2024-06-22,15:13,San Antonio,Matthews View,Burglary,Medium,No Arrest,0,15,Saturday,Afternoon,1
C1061,2023-09-25,19:32,Tulsa,Hobbs Mews,Assault,Medium,No Arrest,0,19,Monday,Evening,0
C1062,2025-02-21,06:02,Dallas,Patrick Isle,Fraud,Medium,Arrest Made,2,6,Friday,Morning,1
C1063,2024-09-16,09:05,Oklahoma City,Denise Manors,Vandalism,Low,Arrest Made,1,9,Monday,Morning,1
C1064,2024-06-10,12:08,Austin,Nichole Squares,Vandalism,Low,No Arrest,0,12,Monday,Afternoon,1
C1065,2024-06-22,19:28,San Antonio,Underwood Ridges,Robbery,High,Arrest Made,1,19,Saturday,Evening,1
C1066,2024-02-24,07:07,Austin,Danielle Land,Theft,Low,No Arrest,0,7,Saturday,Morning,1
C1067,2023-09-05,06:23,Oklahoma City,Duncan Run,Vandalism,Low,Arrest Made,1,6,Tuesday,Morning,1
C1068,2023-08-16,00:46,Dallas,Webster Extension,Vandalism,Low,Arrest Made,1,0,Wednesday,Night,1
C1069,2024-06-04,16:10,Houston,Zachary Path,Theft,Low,Arrest Made,1,16,Tuesday,Afternoon,1
C1070,2025-02-28,04:59,Little Rock,Campos Groves,Burglary,Medium,No Arrest,0,4,Friday,Night,0
C1071,2023-06-17,17:51,Dallas,Williams Vista,Theft,Low,Arrest Made,1,17,Saturday,Evening,1
C1072,2024-05-17,14:48,Houston,Smith Islands,Fraud,Medium,No Arrest,0,14,Friday,Afternoon,1
C1073,2024-12-21,19:29,Tulsa,Anthony Rapids,Burglary,Medium,Arrest Made,2,19,Saturday,Evening,0
