satisfaction_level,last_evaluation,cluster
0.38,0.53,1
0.8,0.86,2
0.11,0.88,0
0.72,0.87,2
0.37,0.52,1
0.41,0.5,1
0.1,0.77,0
0.92,0.85,2
0.89,1.0,2
0.42,0.53,1
0.45,0.54,1
0.11,0.81,0
0.84,0.92,2
0.41,0.55,1
0.36,0.56,1
0.38,0.54,1
0.45,0.47,1
0.78,0.99,2
0.45,0.51,1
0.76,0.89,2
0.11,0.83,0
0.38,0.55,1
0.09,0.95,0
0.46,0.57,1
0.4,0.53,1
0.89,0.92,2
0.82,0.87,2
0.4,0.49,1
0.41,0.46,1
0.38,0.5,1
0.09,0.62,0
0.45,0.57,1
0.4,0.51,1
0.45,0.55,1
0.84,0.87,2
0.1,0.94,0
0.38,0.46,1
0.45,0.5,1
0.11,0.89,0
0.41,0.54,1
0.87,0.88,2
0.45,0.48,1
0.4,0.46,1
0.1,0.8,0
0.09,0.89,0
0.84,0.74,2
0.4,0.55,1
0.57,0.7,1
0.4,0.54,1
0.43,0.47,1
0.13,0.78,0
0.44,0.55,1
0.38,0.55,1
0.39,0.54,1
0.1,0.92,0
0.37,0.46,1
0.11,0.94,0
0.1,0.81,0
0.38,0.54,1
0.85,1.0,2
0.85,0.91,2
0.11,0.93,0
0.1,0.95,0
0.36,0.56,1
0.11,0.94,0
0.81,0.7,2
0.43,0.54,1
0.9,0.98,2
0.76,0.86,2
0.43,0.5,1
0.74,0.99,2
0.09,0.77,0
0.45,0.49,1
0.09,0.87,0
0.11,0.97,0
0.11,0.79,0
0.1,0.83,0
0.4,0.54,1
0.43,0.56,1
0.39,0.56,1
0.45,0.54,1
0.38,0.49,1
0.79,0.59,2
0.84,0.85,2
0.11,0.77,0
0.11,0.87,0
0.17,0.84,0
0.44,0.45,1
0.37,0.57,1
0.1,0.79,0
0.4,0.5,1
0.89,1.0,2
0.42,0.48,1
0.46,0.55,1
0.09,0.83,0
0.37,0.51,1
0.1,0.77,0
0.1,0.84,0
0.11,0.97,0
0.9,1.0,2
0.38,0.52,1
