propeller_name,blade_name,propeller_brand,number_of_blades,propeller_diameter,propeller_pitch,single_blade_area,total_blade_area,disc_radius,disc_area,solidity
nr640 5x3.16 - 2,nr640 5x3.16,nr640,2,5.0,3.156702054,0.5374374999999999,1.0748749999999998,2.5,19.634954084936208,0.05474293422588831
nr640 5x4.29 - 2,nr640 5x4.29,nr640,2,5.0,4.287923303,0.5374374999999999,1.0748749999999998,2.5,19.634954084936208,0.05474293422588831
nr640 9x5.68 - 2,nr640 9x5.68,nr640,2,9.0,5.682063698,1.7412975,3.482595,4.5,63.61725123519331,0.05474293422588832
nr640 9x7.72 - 2,nr640 9x7.72,nr640,2,9.0,7.718261945,1.7412975,3.482595,4.5,63.61725123519331,0.05474293422588832
apce 19.0x12.0 - 2,apce 19.0x12.0,apce,2,19.0,12.0,9.160375,18.32075,9.5,283.5287369864788,0.06461690689530951
apce 17.0x12.0 - 2,apce 17.0x12.0,apce,2,17.0,12.0,7.3731125,14.746225,8.5,226.98006922186255,0.06496704777011168
apce 14.0x12.0 - 2,apce 14.0x12.0,apce,2,14.0,12.0,5.028625000000001,10.057250000000002,7.0,153.93804002589985,0.06533310413922305
grcp 11.0x6.0 - 2,grcp 11.0x6.0,grcp,2,11.0,6.0,3.20423125,6.4084625,5.5,95.03317777109125,0.06743394938803605
grcp 9.0x4.0 - 2,grcp 9.0x4.0,grcp,2,9.0,4.0,2.21990625,4.4398125,4.5,63.61725123519331,0.06978944254579611
grcp 11.0x4.0 - 2,grcp 11.0x4.0,grcp,2,11.0,4.0,3.32220625,6.6444125,5.5,95.03317777109125,0.06991676650026962
apcsp 14.0x13.0 - 2,apcsp 14.0x13.0,apcsp,2,14.0,13.0,5.46105,10.9221,7.0,153.93804002589985,0.07095127363036695
mas 11.0x6.0 - 2,mas 11.0x6.0,mas,2,11.0,6.0,3.3834625,6.766925,5.5,95.03317777109125,0.07120592153931397
grcp 11.0x8.0 - 2,grcp 11.0x8.0,grcp,2,11.0,8.0,3.39934375,6.7986875,5.5,95.03317777109125,0.07154014691980695
apc29ff 9.0x5.0 - 2,apc29ff 9.0x5.0,apc29ff,2,9.0,5.0,2.3176125,4.635225,4.5,63.61725123519331,0.0728611329474697
