propeller_name,advance_ratio,rpm,power_coeff,efficiency
magf 7.0x4.0 - 2,0.781,4014,0.0025,-8.158
grcsp 9.0x5.0 - 2,0.66,6915,0.0043,-0.782
apcsp 8.0x10.0 - 2,1.552,4004,0.0045,-15.915
magf 11.0x8.0 - 2,0.875,3001,0.005,-2.279
apccf 7.8x6.0 - 2,0.98,5005,0.0051,-2.583
grcp 10.0x8.0 - 2,0.942,3997,0.0051,-1.93
apcsp 10.0x8.0 - 2,0.96,3002,0.0052,-1.95
grcsp 9.0x6.0 - 2,1.014,5007,0.0053,-3.413
gwssf 8.0x6.0 - 2,0.92,4011,0.0053,-5.8
ma 11.0x8.0 - 2,0.819,3998,0.0054,-1.751
apce 9.0x6.0 - 2,0.835,5000,0.0055,-1.091
apcsp 10.0x9.0 - 2,1.089,4006,0.0055,-2.92
gwsdd 10.0x6.0 - 2,0.677,6017,0.0056,-1.276
mas 10.0x7.0 - 2,0.867,6508,0.0056,-2.465
apce 9.0x6.0 - 2,0.836,6715,0.0057,-0.876
grcp 9.0x4.0 - 2,0.593,4015,0.0057,-1.47
magf 10.0x8.0 - 2,0.917,5003,0.0057,-1.424
magf 11.0x8.0 - 2,0.894,4009,0.0057,-1.825
apce 10.0x5.0 - 2,0.691,4993,0.0058,-0.643
apce 10.0x5.0 - 2,0.697,6018,0.0058,-0.581
apce 8.0x4.0 - 2,0.714,4001,0.0058,-1.125
apcsp 11.0x8.0 - 2,0.946,3997,0.0058,-1.515
grcp 11.0x6.0 - 2,0.642,4998,0.0058,-0.959
grsn 9.0x5.0 - 2,0.703,6811,0.0058,-1.184
kyosho 11.0x9.0 - 2,1.052,5005,0.0058,-2.119
mas 10.0x5.0 - 2,0.897,5001,0.0058,-6.136
mas 10.0x7.0 - 2,0.866,6018,0.0058,-2.315
apce 10.0x7.0 - 2,0.868,6015,0.0059,-1.047
apce 8.0x4.0 - 2,0.722,5011,0.0059,-1.189
grcsp 9.0x5.0 - 2,0.642,4001,0.0059,-0.396
grcsp 10.0x6.0 - 2,0.892,6018,0.006,-2.532
grsn 10.0x7.0 - 2,0.852,4999,0.006,-0.698
magf 10.0x8.0 - 2,0.929,6007,0.006,-1.178
mas 9.0x5.0 - 2,0.752,4005,0.006,-2.152
apce 11.0x7.0 - 2,0.812,6003,0.0061,-0.501
apcsf 8.0x3.8 - 2,0.808,4007,0.0061,-6.085
apcsp 11.0x7.0 - 2,0.895,5000,0.0061,-1.212
gwsdd 11.0x7.0 - 2,0.68,5999,0.0061,-1.172
mas 11.0x6.0 - 2,0.74,3010,0.0061,-1.932
mas 11.0x6.0 - 2,0.749,3997,0.0061,-1.886
mas 11.0x8.0 - 2,0.882,4000,0.0061,-2.119
apce 11.0x10.0 - 2,1.049,3006,0.0062,-1.164
apce 19.0x12.0 - 2,0.767,1500,0.0062,-0.737
apce 8.0x4.0 - 2,0.724,7011,0.0062,-1.002
grcsp 10.0x8.0 - 2,1.095,4001,0.0062,-3.288
gwsdd 10.0x6.0 - 2,0.668,6708,0.0062,-1.036
gwssf 10.0x8.0 - 2,0.91,2999,0.0062,-5.002
gwssf 11.0x4.7 - 2,0.737,4998,0.0062,-6.546
gwssf 11.0x8.0 - 2,0.857,3998,0.0062,-4.589
kyosho 11.0x7.0 - 2,0.875,6014,0.0062,-1.03
kyosho 9.0x6.0 - 2,0.832,5002,0.0062,-1.492
mas 11.0x7.0 - 2,0.794,5003,0.0062,-1.691
apce 10.0x7.0 - 2,0.869,6519,0.0063,-0.878
apcsp 10.0x4.0 - 2,0.625,4003,0.0063,-0.94
grcp 10.0x6.0 - 2,0.755,4999,0.0063,-1.17
grcsp 9.0x5.0 - 2,0.642,6915,0.0063,-0.142
apccf 7.8x7.0 - 2,1.091,4999,0.0064,-2.426
apce 10.0x5.0 - 2,0.684,4005,0.0064,-0.551
apce 11.0x5.5 - 2,0.637,6000,0.0064,-0.2
grcp 11.0x6.0 - 2,0.647,6001,0.0064,-0.684
magf 10.0x8.0 - 2,0.899,3998,0.0064,-1.268
mas 9.0x7.0 - 2,0.923,5004,0.0064,-2.922
ma 11.0x9.0 - 2,0.886,2991,0.0064,-1.864
apce 9.0x4.5 - 2,0.672,6913,0.0065,-0.344
gwsdd 10.0x6.0 - 2,0.685,4008,0.0065,-1.03
gwsdd 11.0x7.0 - 2,0.685,5000,0.0065,-1.066
mas 10.0x5.0 - 2,0.908,6022,0.0065,-5.49
mas 11.0x8.0 - 2,0.872,3010,0.0065,-1.957
rusp 11.0x4.0 - 2,0.576,3006,0.0065,-1.536
apc29ff 9.0x4.0 - 2,0.649,4004,0.0066,-0.979
apcsf 11.0x3.8 - 2,0.703,3001,0.0066,-6.761
apcsp 10.0x6.0 - 2,0.813,5001,0.0066,-0.946
grcp 9.0x4.0 - 2,0.584,7014,0.0066,-0.891
gwssf 9.0x7.0 - 2,0.894,5002,0.0066,-3.317
mas 9.0x6.0 - 2,0.806,4005,0.0066,-2.062
ma 11.0x6.0 - 2,0.654,5000,0.0066,-0.831
apce 11.0x5.5 - 2,0.628,4998,0.0067,-0.209
apcsp 11.0x4.0 - 2,0.615,6002,0.0067,-0.743
gwsdd 11.0x7.0 - 2,0.704,3008,0.0067,-1.168
gwssf 11.0x4.7 - 2,0.745,3005,0.0067,-5.512
magf 9.0x7.0 - 2,0.896,4999,0.0067,-1.014
apce 11.0x10.0 - 2,1.054,3996,0.0068,-0.946
apce 11.0x8.0 - 2,0.854,3997,0.0068,-0.673
apcsf 9.0x4.7 - 2,0.76,6819,0.0068,-4.787
apcsp 11.0x5.0 - 2,0.702,6001,0.0068,-0.575
apcsp 11.0x6.0 - 2,0.785,3997,0.0068,-0.946
gwsdd 9.0x5.0 - 2,0.693,6008,0.0068,-1.66
mas 9.0x5.0 - 2,0.743,6816,0.0068,-1.609
rusp 11.0x4.0 - 2,0.574,6000,0.0068,-1.149
apce 10.0x5.0 - 2,0.691,6710,0.0069,-0.256
apce 9.0x6.0 - 2,0.825,6015,0.0069,-0.551
apcsf 10.0x7.0 - 2,0.94,3999,0.0069,-3.767
apcsf 10.0x7.0 - 2,0.953,5006,0.0069,-3.695
apcsf 11.0x4.7 - 2,0.763,4997,0.0069,-5.325
grsn 11.0x6.0 - 2,0.633,6013,0.0069,-0.195
kyosho 11.0x7.0 - 2,0.835,3003,0.0069,-0.872
magf 10.0x6.0 - 2,0.741,6019,0.0069,-0.575
mas 11.0x8.0 - 2,0.887,5014,0.0069,-1.669
mas 9.0x5.0 - 2,0.741,6013,0.0069,-1.618
ma 11.0x4.0 - 2,0.449,2992,0.0069,-0.862
